Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
1+Battista_Political+communication+in+the+age+of+AI.pdf,Political communication in the age of artificial intelligence: an overview of deepfakes and their implications,D Battista,Broad societal applications including political manipulation,AI-generated fake identities used for impersonation or influence,Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,16,2024,Society Register,ceeol.com,"https://scholar.google.com/scholar?q=related:NT4TkLrLq1wJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
IJERT_Deep_Fake_Detection_using_Neural_N.pdf,Deep fake detection using neural networks,"A Badale, L Castelino, C Darekar…",Spreading hate speech and political distress,Artificially generated videos that use AI to merge or superimpose existing images or videos in a realistic manner.,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people.,Deceptive,The intent is to detect deepfakes used for spreading harmful content like hate speech and political distress.,Visual,The focus is on visual media such as images and videos.,Targeted Attribute,No reasoning provided,28,2018,15th IEEE international …,academia.edu,"https://scholar.google.com/scholar?q=related:o1J6_UvLhIkJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
PYTTTQNZ_Nema - 2021 - Understanding copyright issues entailing deepfakes in India.pdf,Understanding copyright issues entailing deepfakes in India,P Nema,"Entertainment (movies, social media), fake pornography, political campaigns",AI-generated alterations of media to deceive or replace original content,Original-to-Target Transfer,"The paper discusses deepfakes used in applications like political manipulation and fake pornography, which involve replacing entire identities.",Deceptive,"The intent is primarily for deception, as seen in applications such as fraud and identity theft.",Visual,The focus is on visual media types like images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,10,2021,International Journal of Law and Information …,academic.oup.com,"https://scholar.google.com/scholar?q=related:CgchnKdJm3MJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"JRV9PCRQ_Matthews - 2022 - Deepfakes, intellectual cynics, and the cultivation of digital sensibility.pdf","Deepfakes, intellectual cynics, and the cultivation of digital sensibility",T Matthews,Not specified,Artificially generated videos depicting people doing and saying things they never did.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between individuals.",Non-deceptive,The focus is on the effects and potential harms of deepfakes rather than their deceptive purpose.,Visual,The paper primarily focuses on video-based visual deepfakes.,Holistic,"The deepfakes involve complete identity replacement, not just attribute changes.",13,2022,Royal Institute of Philosophy Supplements,cambridge.org,"https://scholar.google.com/scholar?q=related:Wp8SxW4CZGoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
BUKVR2RR_Mania - 2024 - Legal protection of revenge and deepfake porn victims in the European Union Findings from a compara.pdf,Legal protection of revenge and deepfake porn victims in the European Union: Findings from a comparative legal study,K Mania,Revenge porn manipulation and prevention,"Deepfakes are used to create non-consensual intimate images, often for abusive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes used in revenge porn, which involve altering someone's identity to cause harm.",Deceptive,The intent is deceptive as these deepfakes are often used for malicious purposes against victims.,Visual,"The focus is on visual media, specifically images used for manipulation and abuse.",Both Targeted and Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,56,2024,"Trauma, Violence, &Abuse",journals.sagepub.com,"https://scholar.google.com/scholar?q=related:oDoAzy-k4p8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
23XYYL5B_Uppal et al. - 2024 - A Comprehensive Study on Mitigating Synthetic Identity Threats Using Deepfake Detection Mechanisms.pdf,A Comprehensive Study on Mitigating Synthetic Identity Threats Using Deepfake Detection Mechanisms,"S Uppal, V Banga, S Neeraj…",Social media and entertainment purposes,Deepfakes are artificial face swaps or identity impersonations used for various purposes.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swaps between two distinct photos, which is a form of identity replacement.",Deceptive,The study focuses on using detection mechanisms to neutralize malicious deepfakes used for fraudulent purposes.,Visual,The paper primarily deals with visual deepfakes in the form of images and videos.,Holistic,"The deepfakes involve complete identity replacement, which is a holistic manipulation.",3,2024,2024 14th International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:6wTGUtdCQmcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
XY63RBU2_Younus and Hasan - 2020 - Abbreviated view of deepfake videos detection techniques.pdf,Abbreviated view of deepfake videos detection techniques,"MA Younus, TM Hasan",Not explicitly mentioned in the paper beyond detection methods,"Deepfakes are synthetic videos created using AI to replace or modify parts of real footage, often aiming to deceive viewers.",Original-to-Target Transfer,"The paper discusses detection techniques involving methods like face swapping, which are part of original-to-target transfer deepfakes.",Deceptive,"The focus is on detecting synthetic videos rather than their application, hence non-deceptive intent.",Visual,The paper focuses on video-based visual deepfakes as the primary subject of detection techniques.,Holistic,No reasoning provided,16,2020,2020 6th International Engineering …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:HZuwt2Y-0U0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
3QIYK3GL_Galal - The Credibility of the Media Image within the Development of Artificial Intelligence and Deep-Fake T.pdf,The Credibility of the Media Image within the Development of Artificial Intelligence and Deep-Fake Technology,A Galal,Entertainment and social media,"Deepfakes are used to manipulate media images, often in journalism, by altering or replacing identities through illustrative means.",Original-to-Target Transfer,"The paper discusses deepfakes used for face swapping, where identities are transferred between individuals.",Deceptive,"The focus is on how these deepfakes can be used to mislead in media contexts, such as in journalism.",Visual,The paper primarily discusses visual deepfakes through images and press.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,2,2024,"Journal of Architecture, Arts, and Humanistic sciences",mjaf.journals.ekb.eg,"https://scholar.google.com/scholar?q=related:kaRfIRFrEpEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Z7XK88CK_Chang et al. - 2020 - Deepfake face image detection based on improved VGG convolutional neural network.pdf,Deepfake face image detection based on improved VGG convolutional neural network,"X Chang, J Wu, T Yang, G Feng",Face images and videos used for security purposes,"Artificially generated face images that are tampered with to appear real, often using deep learning techniques to detect or mimic such alterations.",Original-to-Target Transfer,The paper discusses face images where tampering artifacts are not visible in RGB channels but can be detected through noise features.,Non-deceptive,"The intent is to detect these deepfakes for security purposes, hence non-deceptive.",Visual,The deepfakes discussed are specifically visual media (images and videos).,Holistic,The manipulation involves altering face features comprehensively to mimic real data.,97,2020,2020 39th chinese control …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:Vp_wZjt-e5gJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
8GB9N8LT_Karnouskos - 2020 - Artificial intelligence in digital media The era of deepfakes.pdf,Artificial intelligence in digital media: The era of deepfakes,S Karnouskos,"Various applications including entertainment (social media), identity theft/fraud, political manipulation, pornography, education, and art/creativity.","Deepfakes are realistic digital products created using artificial intelligence for deceptive purposes, often involving the creation of fake videos with altered or swapped identities.",Original-to-Target Transfer,"The paper discusses deepfakes involving the creation of realistic digital products with swapped or altered identities, which falls under original-to-target transfer.",Deceptive,The intent is deceptive as these deepfakes are often used for malicious purposes like identity theft and fraud.,Visual,"The focus is on visual media, specifically videos created over social platforms.",Holistic,The deepfakes involve holistic manipulation as they replace entire identities rather than just specific attributes.,276,2020,IEEE Transactions on Technology and Society,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:uNK0GFuuUIgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
tyad011.pdf,Testing human ability to detect 'deepfake'images of human faces,"SD Bray, SD Johnson, B Kleinberg",Cybersecurity,"Deepfakes are uncurated outputs from StyleGAN2 trained on the FFHQ dataset, used to create images of human faces that falsely represent reality.",Original-to-Target Transfer,"The paper discusses deepfakes created using StyleGAN2, which involves generating images of human faces by swapping or replacing identities between people.",Non-deceptive,"The study focuses on detecting these deepfakes as a cybersecurity threat, implying their primary use is for identifying genuine content rather than malicious purposes.",Visual,"The paper concentrates on visual deepfakes in the form of images, specifically human faces generated using StyleGAN2.",Holistic,"The deepfakes involve complete identity replacement, as they are uncurated outputs from a face-swapping algorithm.",80,2023,Journal of Cybersecurity,academic.oup.com,"https://scholar.google.com/scholar?q=related:BaandI3-RBAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
